session_id,customer_id,visit_date,device,pages_viewed,session_duration_min,converted
SESS900167,CUST102983,2025-10-01,Mobile,6,2.34,0
SESS900168,CUST102354,2024-11-27,Mobile,6,1.47,1
SESS900169,CUST101225,2024-07-24,Desktop,6,2.48,0
SESS900170,CUST102201,2024-06-22,Mobile,4,18.57,0
SESS900171,CUST102014,2024-04-10,Mobile,9,1.41,0
SESS900172,CUST102657,2024-11-08,Desktop,7,2.31,0
SESS900173,CUST102693,2025-04-06,Mobile,5,3.66,0
SESS900174,CUST100670,2024-11-17,Mobile,3,3.93,0
SESS900175,CUST102014,2024-05-10,Mobile,3,0.65,0
SESS900176,CUST100712,2024-06-13,Desktop,10,1.43,0
SESS900177,CUST100122,2024-10-28,Mobile,5,1.77,0
SESS900178,CUST102897,2024-10-20,Mobile,5,1.9,0
SESS900179,CUST101568,2024-09-03,Mobile,3,1.79,0
SESS900180,CUST100596,2025-09-05,Mobile,2,6.58,0
SESS900181,CUST102493,2025-12-08,Mobile,4,2.46,0
SESS900182,CUST100002,2025-06-03,Mobile,5,4.46,0
SESS900183,CUST102927,2025-03-07,Desktop,4,11.66,1
SESS900184,CUST100822,2024-09-28,Mobile,7,2.94,0
SESS900185,CUST101019,2025-12-29,Mobile,7,4.8,0
SESS900186,CUST101275,2024-03-10,Desktop,4,5.66,0
SESS900187,CUST101901,2025-06-04,Tablet,2,10.6,0
SESS900188,CUST101170,2025-11-15,Tablet,4,4.64,0
SESS900189,CUST100534,2025-01-13,Mobile,4,1.27,0
SESS900190,CUST102556,2024-03-18,Mobile,2,1.97,1
SESS900191,CUST102475,2024-10-24,Tablet,6,12.57,0
SESS900192,CUST100826,2024-11-16,Desktop,6,2.9,0
SESS900193,CUST100397,2025-12-02,Desktop,5,2.3,0
SESS900194,CUST100360,2024-02-03,Desktop,5,4.45,0
SESS900195,CUST101155,2025-10-14,Mobile,5,0.55,1
SESS900196,CUST100537,2024-11-12,Mobile,2,2.47,0
SESS900197,CUST102729,2025-03-02,Desktop,5,2.71,0
SESS900198,CUST100083,2025-03-08,Mobile,4,2.63,0
SESS900199,CUST100012,2024-07-14,Mobile,3,6.94,1
SESS900200,CUST100137,2024-05-22,Mobile,3,10.82,0
SESS900201,CUST100818,2025-06-07,Tablet,4,2.12,1
SESS900202,CUST101608,2025-06-03,Tablet,4,9.48,0
SESS900203,CUST101462,2024-02-01,Mobile,3,0.75,0
SESS900204,CUST100290,2024-11-22,Desktop,6,1.0,0
SESS900205,CUST100420,2025-03-20,Mobile,6,1.63,0
SESS900206,CUST101230,2024-01-20,Tablet,3,5.5,0
SESS900207,CUST101258,2024-05-10,Tablet,2,4.09,0
SESS900208,CUST102107,2024-02-10,Mobile,2,3.16,1
SESS900209,CUST101578,2024-11-05,Tablet,4,11.09,0
SESS900210,CUST102202,2024-06-19,Mobile,7,7.7,0
SESS900211,CUST100654,2025-02-16,Desktop,8,1.49,0
SESS900212,CUST100904,2024-09-28,Tablet,10,4.44,0
SESS900213,CUST101547,2024-12-02,Mobile,8,3.23,0
SESS900214,CUST100669,2025-02-07,Desktop,9,1.18,0
SESS900215,CUST102957,2024-06-27,Mobile,2,5.65,0
SESS900216,CUST102042,2025-12-24,Mobile,7,1.25,0
SESS900217,CUST100721,2024-08-13,Mobile,7,7.02,0
SESS900218,CUST102141,2024-09-04,Mobile,4,1.32,0
SESS900219,CUST102188,2025-12-25,Mobile,11,2.96,0
SESS900220,CUST101889,2024-08-14,Mobile,5,3.78,0
SESS900221,CUST101907,2024-06-07,Mobile,5,4.92,0
SESS900222,CUST100070,2025-05-23,Tablet,3,1.35,0
SESS900223,CUST101374,2025-10-14,Mobile,6,4.16,0
SESS900224,CUST102324,2024-09-05,Mobile,8,0.88,0
SESS900225,CUST100192,2025-01-22,Desktop,5,3.61,0
SESS900226,CUST101874,2024-08-12,Mobile,3,2.34,0
SESS900227,CUST101969,2025-10-20,Mobile,3,1.59,0
SESS900228,CUST100978,2024-07-19,Desktop,4,18.26,0
SESS900229,CUST102568,2025-11-06,Mobile,6,3.67,0
SESS900230,CUST100938,2024-07-30,Mobile,7,0.53,1
SESS900231,CUST101663,2025-02-26,Mobile,4,4.59,0
SESS900232,CUST100216,2025-12-10,Desktop,4,2.42,0
SESS900233,CUST100192,2024-11-12,Mobile,6,2.66,1
SESS900234,CUST101358,2025-04-09,Desktop,7,6.5,0
SESS900235,CUST100413,2025-01-12,Tablet,5,4.73,0
SESS900236,CUST102636,2024-02-04,Desktop,2,8.36,0
SESS900237,CUST102666,2025-11-03,Mobile,5,10.96,1
SESS900238,CUST101320,2024-06-26,Mobile,4,4.61,0
SESS900239,CUST100875,2024-09-13,Mobile,3,3.37,0
SESS900240,CUST102452,2024-05-09,Mobile,4,1.95,0
SESS900241,CUST101059,2025-04-25,Mobile,5,2.0,0
SESS900242,CUST101597,2025-07-20,Mobile,7,1.3,0
SESS900243,CUST101173,2024-09-17,Mobile,3,3.49,0
SESS900244,CUST102573,2024-08-04,Mobile,7,1.58,1
SESS900245,CUST101537,2024-02-03,Desktop,3,3.32,0
SESS900246,CUST102277,2025-12-01,Desktop,3,10.13,0
SESS900247,CUST100509,2024-10-17,Mobile,6,5.94,1
SESS900248,CUST100497,2025-06-29,Mobile,2,1.56,0
SESS900249,CUST102815,2024-11-06,Mobile,7,5.8,0
SESS900250,CUST102774,2025-08-21,Mobile,10,8.01,0
SESS900251,CUST101614,2025-02-16,Mobile,4,1.9,0
SESS900252,CUST101577,2024-12-26,Mobile,6,0.94,0
SESS900253,CUST100024,2025-10-11,Mobile,5,3.91,0
SESS900254,CUST100565,2024-02-27,Mobile,5,0.94,0
SESS900255,CUST102906,2025-03-13,Mobile,4,7.62,0
SESS900256,CUST100145,2024-12-31,Mobile,6,0.9,0
SESS900257,CUST102363,2024-11-02,Mobile,2,2.11,0
SESS900258,CUST102510,2024-05-18,Mobile,5,1.44,0
SESS900259,CUST101796,2024-02-25,Tablet,3,3.95,0
SESS900260,CUST101634,2025-11-14,Desktop,7,3.83,1
SESS900261,CUST101038,2024-05-24,Mobile,2,1.11,0
SESS900262,CUST100531,2024-09-15,Mobile,4,2.85,0
SESS900263,CUST101666,2025-04-01,Mobile,2,2.71,0
SESS900264,CUST102806,2024-02-14,Desktop,4,10.93,0
SESS900265,CUST101801,2025-01-22,Mobile,7,0.55,0
SESS900266,CUST102066,2025-07-04,Mobile,4,1.19,1
SESS900267,CUST100070,2025-07-05,Mobile,2,7.37,0
SESS900268,CUST100811,2024-12-16,Mobile,4,4.94,0
SESS900269,CUST102957,2024-04-07,Desktop,6,1.3,0
SESS900270,CUST101801,2025-02-03,Mobile,2,0.51,0
SESS900271,CUST101031,2024-10-12,Mobile,1,2.92,0
SESS900272,CUST101262,2025-08-25,Mobile,6,3.26,0
SESS900273,CUST102390,2024-06-05,Mobile,5,3.34,0
SESS900274,CUST101178,2024-06-11,Desktop,4,4.58,0
SESS900275,CUST101264,2025-05-14,Mobile,7,2.0,0
SESS900276,CUST100484,2025-01-25,Mobile,7,0.83,0
SESS900277,CUST100626,2024-05-14,Mobile,5,1.74,0
SESS900278,CUST101651,2024-12-15,Desktop,7,1.76,0
SESS900279,CUST102952,2025-12-13,Mobile,7,7.3,0
SESS900280,CUST102152,2025-06-12,Desktop,3,0.74,0
SESS900281,CUST100070,2024-03-21,Tablet,6,1.02,0
SESS900282,CUST102413,2024-01-23,Desktop,5,2.06,0
SESS900283,CUST101657,2025-09-16,Mobile,6,3.17,0
SESS900284,CUST101873,2025-05-10,Mobile,5,2.16,0
SESS900285,CUST101223,2025-04-30,Desktop,4,6.14,0
SESS900286,CUST100907,2024-11-16,Mobile,3,3.71,0
SESS900287,CUST102377,2024-05-11,Desktop,7,1.02,0
SESS900288,CUST102109,2024-10-01,Mobile,7,10.9,0
SESS900289,CUST100897,2025-01-28,Mobile,6,0.69,0
SESS900290,CUST100809,2025-12-21,Desktop,2,3.33,0
SESS900291,CUST100237,2024-06-04,Mobile,4,7.62,0
SESS900292,CUST100305,2025-07-20,Mobile,6,12.24,0
SESS900293,CUST101442,2024-11-21,Mobile,6,2.63,0
SESS900294,CUST102896,2025-02-25,Desktop,4,4.85,0
SESS900295,CUST100678,2024-09-14,Mobile,4,4.35,0
SESS900296,CUST100381,2024-10-18,Mobile,4,6.63,0
SESS900297,CUST101027,2024-02-02,Mobile,2,0.96,0
SESS900298,CUST101745,2024-09-18,Desktop,8,6.54,0
SESS900299,CUST101019,2025-02-12,Tablet,2,1.72,0
SESS900300,CUST101441,2024-08-21,Mobile,5,7.13,0
SESS900301,CUST101004,2024-11-29,Mobile,6,0.64,0
SESS900302,CUST100818,2025-08-26,Tablet,7,0.58,0
SESS900303,CUST101727,2025-07-30,Mobile,5,3.73,0
SESS900304,CUST101403,2025-10-24,Mobile,5,4.1,0
SESS900305,CUST100491,2024-12-15,Mobile,7,3.52,0
SESS900306,CUST101731,2025-06-13,Mobile,9,10.56,0
SESS900307,CUST100606,2024-08-30,Mobile,5,3.7,1
SESS900308,CUST100971,2024-01-04,Mobile,5,7.83,0
SESS900309,CUST101870,2025-07-18,Mobile,4,3.68,0
SESS900310,CUST100318,2024-06-07,Desktop,6,7.27,0
SESS900311,CUST102491,2024-07-04,Mobile,6,3.46,1
SESS900312,CUST100644,2025-02-05,Mobile,4,21.0,1
SESS900313,CUST100887,2024-06-22,Mobile,4,10.76,0
SESS900314,CUST100874,2025-04-20,Desktop,3,1.62,0
SESS900315,CUST100545,2024-03-20,Mobile,8,7.16,1
SESS900316,CUST101139,2024-04-01,Tablet,4,19.25,0
SESS900317,CUST101989,2025-03-02,Desktop,2,16.17,1
SESS900318,CUST101251,2025-07-15,Tablet,6,2.48,0
SESS900319,CUST100979,2025-08-14,Mobile,5,4.1,0
SESS900320,CUST101809,2025-10-14,Mobile,4,3.41,0
SESS900321,CUST101392,2024-10-10,Mobile,2,5.11,1
SESS900322,CUST101599,2025-03-03,Mobile,7,2.52,0
SESS900323,CUST101996,2025-11-21,Mobile,2,1.35,0
SESS900324,CUST100260,2025-04-10,Mobile,3,3.72,0
SESS900325,CUST102657,2024-01-21,Mobile,6,17.51,0
SESS900326,CUST101058,2025-01-12,Mobile,4,4.65,0
SESS900327,CUST102084,2025-01-24,Tablet,7,5.13,0
SESS900328,CUST102994,2024-08-05,Mobile,7,5.71,0
SESS900329,CUST100919,2025-08-26,Mobile,5,3.12,0
SESS900330,CUST102058,2025-08-13,Desktop,4,7.14,0
SESS900331,CUST102575,2024-03-27,Mobile,5,4.34,0
SESS900332,CUST102712,2024-03-13,Mobile,3,3.76,0
SESS900333,CUST101634,2025-03-29,Mobile,7,1.16,1
SESS900334,CUST100142,2024-11-16,Desktop,4,0.94,0
SESS900335,CUST102774,2025-04-15,Mobile,4,7.22,1
SESS900336,CUST100553,2024-05-30,Desktop,6,3.83,0
SESS900337,CUST101862,2024-11-08,Mobile,4,2.07,0
SESS900338,CUST100777,2024-07-23,Desktop,5,9.9,0
SESS900339,CUST101435,2025-04-14,Mobile,6,3.78,0
SESS900340,CUST102825,2024-12-03,Mobile,6,2.08,0
SESS900341,CUST100757,2025-03-15,Mobile,7,8.03,0
SESS900342,CUST100521,2025-12-29,Mobile,8,9.35,0
SESS900343,CUST101180,2025-03-27,Mobile,3,2.11,0
SESS900344,CUST102836,2025-01-20,Mobile,3,1.4,0
SESS900345,CUST101915,2024-02-03,Mobile,10,1.99,0
SESS900346,CUST101500,2025-05-05,Mobile,6,2.64,0
SESS900347,CUST102662,2025-03-06,Mobile,4,1.11,0
SESS900348,CUST101018,2024-11-19,Mobile,5,3.63,0
SESS900349,CUST101010,2024-03-28,Mobile,8,14.65,0
SESS900350,CUST100007,2025-11-02,Desktop,5,8.05,0
SESS900351,CUST100785,2025-12-14,Desktop,6,3.54,1
SESS900352,CUST102423,2025-01-05,Tablet,3,0.81,0
SESS900353,CUST101978,2024-03-31,Mobile,6,7.3,0
SESS900354,CUST101730,2024-06-28,Mobile,4,1.44,0
SESS900355,CUST101962,2025-10-14,Desktop,2,2.2,0
SESS900356,CUST100338,2025-08-17,Desktop,2,1.67,0
SESS900357,CUST100430,2025-08-31,Mobile,6,1.85,0
SESS900358,CUST101599,2024-07-08,Mobile,11,6.05,1
SESS900359,CUST102798,2024-03-21,Tablet,2,2.74,0
SESS900360,CUST100332,2024-12-26,Mobile,3,6.98,0
SESS900361,CUST101887,2025-09-08,Mobile,3,14.65,0
SESS900362,CUST101270,2025-11-04,Desktop,5,2.18,1
SESS900363,CUST100853,2024-02-05,Mobile,6,1.79,0
SESS900364,CUST100139,2024-06-03,Desktop,3,0.89,0
SESS900365,CUST102160,2024-01-02,Mobile,7,1.76,1
SESS900366,CUST100527,2024-05-22,Desktop,3,11.72,0
SESS900367,CUST100973,2024-04-15,Mobile,5,1.71,0
SESS900368,CUST100291,2025-10-17,Mobile,12,1.61,0
SESS900369,CUST100246,2024-12-28,Mobile,4,3.78,0
SESS900370,CUST102973,2025-12-20,Mobile,2,0.97,0
SESS900371,CUST102700,2025-03-31,Desktop,5,6.68,0
SESS900372,CUST100522,2024-11-18,Mobile,4,4.66,0
SESS900373,CUST100434,2025-11-05,Mobile,8,1.32,0
SESS900374,CUST102409,2025-07-02,Mobile,4,3.05,0
SESS900375,CUST100780,2025-09-15,Mobile,7,1.94,0
SESS900376,CUST101540,2024-07-17,Mobile,7,1.83,1
SESS900377,CUST102292,2025-06-22,Desktop,5,2.78,1
SESS900378,CUST100268,2025-06-26,Mobile,5,0.92,1
SESS900379,CUST101758,2025-03-31,Mobile,8,2.38,0
SESS900380,CUST100251,2024-07-23,Desktop,4,4.17,0
SESS900381,CUST100959,2025-05-13,Mobile,3,0.88,0
SESS900382,CUST101788,2025-08-10,Mobile,4,1.84,0
SESS900383,CUST100799,2024-03-24,Mobile,5,3.87,1
SESS900384,CUST100798,2024-05-09,Desktop,8,2.94,0
SESS900385,CUST100024,2024-10-03,Mobile,4,7.09,0
SESS900386,CUST102730,2024-09-11,Mobile,5,1.2,1
SESS900387,CUST102242,2025-03-08,Mobile,6,1.76,0
SESS900388,CUST100318,2024-03-23,Mobile,4,10.87,0
SESS900389,CUST102005,2024-03-05,Mobile,5,7.77,0
SESS900390,CUST101889,2025-05-23,Mobile,6,15.44,0
SESS900391,CUST102435,2024-11-23,Desktop,5,6.66,0
SESS900392,CUST102245,2025-12-20,Mobile,5,18.1,0
SESS900393,CUST101162,2024-08-15,Mobile,9,7.65,0
SESS900394,CUST100630,2024-12-08,Mobile,3,3.25,0
SESS900395,CUST102578,2024-04-14,Tablet,7,4.39,0
SESS900396,CUST100082,2025-03-13,Mobile,5,2.18,0
SESS900397,CUST100453,2024-06-11,Mobile,4,6.92,0
SESS900398,CUST101664,2025-07-22,Mobile,3,2.45,0
SESS900399,CUST102901,2024-02-04,Mobile,8,4.61,0
SESS900400,CUST100223,2025-11-21,Mobile,5,3.85,0
SESS900401,CUST100200,2025-04-09,Tablet,3,2.09,0
SESS900402,CUST100566,2024-07-10,Desktop,4,0.5,0
SESS900403,CUST102595,2024-02-16,Mobile,5,4.86,1
SESS900404,CUST100757,2024-04-07,Tablet,4,2.0,0
SESS900405,CUST101529,2024-09-05,Desktop,6,5.44,0
SESS900406,CUST100554,2024-01-22,Mobile,2,5.08,0
SESS900407,CUST100314,2024-03-03,Mobile,7,1.33,0
SESS900408,CUST102805,2025-03-27,Mobile,6,4.21,0
SESS900409,CUST101038,2025-04-14,Mobile,3,8.21,0
SESS900410,CUST100006,2025-07-01,Tablet,5,2.42,0
SESS900411,CUST100475,2024-10-23,Desktop,5,5.9,0
SESS900412,CUST101542,2025-06-23,Desktop,7,1.42,0
SESS900413,CUST102407,2024-05-17,Tablet,2,1.2,0
SESS900414,CUST102415,2025-07-04,Mobile,5,7.76,0
SESS900415,CUST101644,2024-01-12,Mobile,3,4.06,0
SESS900416,CUST101319,2025-04-20,Desktop,4,1.8,0
SESS900417,CUST101052,2025-10-26,Mobile,4,3.28,0
SESS900418,CUST101364,2025-01-06,Desktop,3,1.21,1
SESS900419,CUST101960,2025-11-19,Desktop,4,5.2,0
SESS900420,CUST102651,2025-06-11,Mobile,4,0.78,0
SESS900421,CUST100032,2024-11-06,Mobile,3,1.27,0
SESS900422,CUST102202,2024-03-02,Mobile,5,13.23,0
SESS900423,CUST101539,2024-06-24,Mobile,9,1.18,0
SESS900424,CUST100743,2025-06-26,Mobile,4,1.4,0
SESS900425,CUST100039,2024-04-08,Mobile,4,8.68,0
SESS900426,CUST100187,2024-10-16,Tablet,6,10.62,0
SESS900427,CUST102920,2024-07-13,Mobile,10,5.89,1
SESS900428,CUST100017,2025-11-22,Desktop,8,1.12,0
SESS900429,CUST101495,2025-07-05,Tablet,4,9.17,0
SESS900430,CUST102887,2025-10-26,Mobile,2,7.18,1
SESS900431,CUST102431,2025-04-30,Desktop,6,3.69,0
SESS900432,CUST101579,2025-10-21,Mobile,5,5.32,0
SESS900433,CUST100549,2025-10-02,Desktop,7,1.22,0
SESS900434,CUST102229,2024-10-06,Desktop,1,0.68,0
